Categoria,Nome do Produto,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Teclado,Logitech Teclado Modelo 641,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",4494.62,37.82,14.29,7.74,1.02,5.24,66.11,746.6
Mouse,Razer Mouse Modelo 174,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",2857.35,38.19,7.85,8.76,1.33,3.25,59.38,455.4
Notebook,Dell Notebook Modelo 985,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",2705.91,32.02,12.04,1.15,0.76,3.23,49.2,403.72
Placa-mãe,Gigabyte Placa-mãe Modelo 777,"Placa-mãe da marca Gigabyte, modelo avançado com alta performance para aplicações diversas.",3012.83,30.34,8.57,2.01,1.38,5.07,47.37,444.0
Suporte Monitor,Furitec Suporte Monitor Modelo 564,"Suporte Monitor da marca Furitec, modelo avançado com alta performance para aplicações diversas.",2503.94,11.74,10.62,3.94,1.29,7.12,34.71,337.31
SSD,Kingston SSD Modelo 566,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",154.44,34.29,15.45,4.81,0.94,7.19,62.68,25.12
Notebook,Lenovo Notebook Modelo 379,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",3080.62,36.77,13.45,8.41,1.13,3.57,63.33,503.16
Webcam,Microsoft Webcam Modelo 522,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",5801.41,22.53,11.46,5.5,1.1,4.3,44.89,840.57
Mouse,Razer Mouse Modelo 635,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",4031.39,22.48,14.8,6.05,1.09,5.56,49.98,604.63
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 358,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",5130.9,16.72,13.56,2.11,1.09,5.51,38.99,713.14
Placa-mãe,MSI Placa-mãe Modelo 299,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",1096.36,31.77,15.68,1.18,1.45,6.78,56.86,171.98
Controle Console,8BitDo Controle Console Modelo 645,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",635.94,31.81,15.36,6.9,0.68,6.32,61.07,102.43
Headset,Razer Headset Modelo 325,"Headset da marca Razer, modelo avançado com alta performance para aplicações diversas.",4380.32,18.62,17.85,0.43,1.63,4.05,42.58,624.55
Teclado,Razer Teclado Modelo 767,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",4658.34,32.05,10.89,4.3,1.2,3.71,52.15,708.77
Monitor,Samsung Monitor Modelo 527,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",4112.08,21.85,13.03,5.69,1.0,7.33,48.9,612.29
Headset,HyperX Headset Modelo 936,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",4975.26,32.99,11.34,2.11,0.79,4.3,51.53,753.9
Fonte,EVGA Fonte Modelo 524,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",3367.02,17.15,9.78,2.16,1.36,3.0,33.45,449.33
Teclado,Razer Teclado Modelo 837,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",713.42,21.9,17.48,2.42,1.19,4.06,47.05,104.91
Placa-mãe,MSI Placa-mãe Modelo 704,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",243.92,22.05,9.1,2.94,1.09,3.05,38.23,33.72
Console,Sony Console Modelo 958,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2656.01,37.32,12.31,6.63,0.76,3.06,60.08,425.17
Placa-mãe,MSI Placa-mãe Modelo 133,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",5891.06,16.84,13.75,1.42,1.12,5.7,38.83,817.86
Controle Console,Sony Controle Console Modelo 912,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2519.42,19.13,12.19,7.37,1.09,3.39,43.17,360.71
HD,Seagate HD Modelo 451,"HD da marca Seagate, modelo avançado com alta performance para aplicações diversas.",3041.23,36.83,10.25,7.81,1.2,3.35,59.44,484.89
Memória RAM,Corsair Memória RAM Modelo 577,"Memória RAM da marca Corsair, modelo avançado com alta performance para aplicações diversas.",1717.27,35.66,5.82,2.23,0.85,6.19,50.75,258.88
Headset,HyperX Headset Modelo 828,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",5635.72,33.68,9.19,6.32,0.96,3.35,53.5,865.08
Teclado,Redragon Teclado Modelo 921,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",3723.47,19.05,10.76,1.26,1.16,4.13,36.36,507.73
Processador,Intel Processador Modelo 689,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",3851.11,31.08,10.7,8.41,1.56,5.11,56.86,604.08
Notebook,Lenovo Notebook Modelo 496,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",4058.9,29.32,14.07,4.67,1.52,4.74,54.32,626.37
HD,Toshiba HD Modelo 161,"HD da marca Toshiba, modelo avançado com alta performance para aplicações diversas.",669.13,36.55,6.99,0.85,1.55,4.99,50.93,100.99
Impressora,Epson Impressora Modelo 365,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",3927.16,35.3,6.34,5.94,1.5,7.54,56.62,615.07
Cooler,Thermaltake Cooler Modelo 861,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",2676.0,28.45,16.26,1.84,0.82,6.77,54.14,412.48
Monitor,AOC Monitor Modelo 492,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",1184.97,28.75,14.35,9.37,0.9,5.02,58.39,187.69
Placa de Vídeo,AMD Placa de Vídeo Modelo 913,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",2360.16,20.63,14.86,0.82,1.59,5.18,43.08,337.69
Impressora,Epson Impressora Modelo 283,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",4544.69,18.48,13.14,0.07,0.74,5.24,37.67,625.67
Impressora,Epson Impressora Modelo 980,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",3303.27,36.79,13.66,6.94,0.77,5.2,63.36,539.62
Suporte Monitor,ELG Suporte Monitor Modelo 801,"Suporte Monitor da marca ELG, modelo avançado com alta performance para aplicações diversas.",1071.52,31.68,13.45,9.96,0.9,7.19,63.18,174.85
Suporte Monitor,ELG Suporte Monitor Modelo 265,"Suporte Monitor da marca ELG, modelo avançado com alta performance para aplicações diversas.",4979.17,20.6,10.55,5.25,0.69,5.54,42.63,710.18
Headset,HyperX Headset Modelo 143,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",990.77,16.71,16.77,6.83,0.84,4.54,45.69,144.34
Monitor,LG Monitor Modelo 157,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",4120.02,30.74,9.28,9.93,1.46,7.27,58.68,653.76
SSD,Kingston SSD Modelo 579,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",1287.1,39.07,11.62,2.82,0.73,3.48,57.72,203.0
Controle Console,8BitDo Controle Console Modelo 355,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",898.56,17.75,14.67,2.81,0.93,4.45,40.61,126.35
Placa-mãe,Gigabyte Placa-mãe Modelo 900,"Placa-mãe da marca Gigabyte, modelo avançado com alta performance para aplicações diversas.",4232.73,16.33,6.21,4.51,1.05,4.1,32.2,559.57
Mesa Gamer,ThunderX3 Mesa Gamer Modelo 401,"Mesa Gamer da marca ThunderX3, modelo avançado com alta performance para aplicações diversas.",5084.71,25.73,5.03,6.5,1.62,3.69,42.57,724.93
SSD,WD SSD Modelo 551,"SSD da marca WD, modelo avançado com alta performance para aplicações diversas.",447.66,18.16,11.21,0.8,0.74,6.35,37.26,61.45
Fonte,Corsair Fonte Modelo 680,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",689.38,19.73,15.05,4.97,1.52,3.78,45.05,100.0
Impressora,Canon Impressora Modelo 118,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",944.16,16.25,11.73,0.97,1.13,4.82,34.9,127.37
Notebook,Lenovo Notebook Modelo 125,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",1932.18,30.32,17.04,1.59,1.28,3.33,53.56,296.71
Processador,AMD Processador Modelo 403,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",5585.9,13.57,9.15,0.19,1.46,4.12,28.49,717.73
Fonte,Cooler Master Fonte Modelo 240,"Fonte da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",696.3,26.55,14.56,7.72,1.52,4.54,54.89,107.85
Webcam,Logitech Webcam Modelo 875,"Webcam da marca Logitech, modelo avançado com alta performance para aplicações diversas.",1758.69,27.19,14.04,0.83,1.21,4.87,48.14,260.53
Suporte Monitor,ELG Suporte Monitor Modelo 935,"Suporte Monitor da marca ELG, modelo avançado com alta performance para aplicações diversas.",2004.46,34.13,9.79,0.06,1.55,5.61,51.14,302.95
Mouse,Corsair Mouse Modelo 711,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",3499.18,25.51,14.45,6.29,1.29,3.18,50.72,527.4
Console,Sony Console Modelo 294,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",3941.37,16.19,7.95,1.68,0.66,6.41,32.89,523.77
Controle Console,8BitDo Controle Console Modelo 186,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",4081.74,33.74,7.95,4.66,0.77,3.71,50.83,615.65
Fonte,Cooler Master Fonte Modelo 324,"Fonte da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",1013.47,26.86,12.58,9.9,0.82,3.09,53.25,155.31
Controle Console,Sony Controle Console Modelo 920,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",4953.22,30.5,14.48,1.64,0.9,3.81,51.33,749.57
Mouse,Corsair Mouse Modelo 531,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",736.3,32.69,6.24,3.39,1.3,6.57,50.19,110.58
Console,Sony Console Modelo 692,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",197.8,21.76,12.36,9.93,1.01,6.2,51.26,29.92
Teclado,Logitech Teclado Modelo 314,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2464.58,20.6,17.62,4.68,1.52,5.28,49.7,368.95
Controle Console,Microsoft Controle Console Modelo 865,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",3005.67,19.27,8.83,4.83,0.96,4.11,38.0,414.78
Notebook,Dell Notebook Modelo 203,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",4211.28,13.05,9.54,9.41,1.58,5.66,39.24,586.38
Mouse,Corsair Mouse Modelo 556,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",3357.02,35.22,8.74,3.05,1.21,4.46,52.68,512.55
Monitor,Samsung Monitor Modelo 518,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",1971.22,18.08,10.26,1.55,1.08,3.18,34.15,264.44
Placa de Vídeo,AMD Placa de Vídeo Modelo 954,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",5749.13,38.43,6.66,1.49,1.39,5.44,53.41,881.97
Console,Microsoft Console Modelo 411,"Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",1721.44,10.74,10.09,1.05,1.06,6.77,29.71,223.29
HD,WD HD Modelo 956,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",2245.67,34.88,7.81,5.21,1.28,7.31,56.49,351.42
SSD,Kingston SSD Modelo 769,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",4403.98,36.09,7.75,0.75,1.17,6.08,51.84,668.7
Console,Nintendo Console Modelo 980,"Console da marca Nintendo, modelo avançado com alta performance para aplicações diversas.",2397.07,19.98,11.01,0.7,1.45,3.25,36.39,326.94
Processador,Intel Processador Modelo 981,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",5522.14,33.13,12.91,8.81,0.79,4.09,59.73,882.05
Mesa Gamer,ThunderX3 Mesa Gamer Modelo 271,"Mesa Gamer da marca ThunderX3, modelo avançado com alta performance para aplicações diversas.",5708.65,11.5,7.1,0.77,1.11,6.57,27.05,725.28
Controle Console,Microsoft Controle Console Modelo 971,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",897.9,19.8,8.67,3.34,1.23,3.46,36.5,122.56
Gabinete,Thermaltake Gabinete Modelo 829,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",1711.99,30.98,15.79,6.62,0.82,5.81,60.02,273.95
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 160,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",218.51,29.06,7.61,8.31,1.18,4.87,51.03,33.0
Notebook,Dell Notebook Modelo 488,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",4769.96,23.12,6.17,0.05,1.61,5.14,36.09,649.14
Webcam,Redragon Webcam Modelo 115,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",279.26,30.27,17.02,8.19,1.18,5.42,62.08,45.26
Memória RAM,Crucial Memória RAM Modelo 492,"Memória RAM da marca Crucial, modelo avançado com alta performance para aplicações diversas.",2282.5,33.88,15.96,4.57,1.47,5.97,61.85,369.42
Cooler,Noctua Cooler Modelo 652,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",4489.07,20.34,17.75,6.98,1.47,4.58,51.12,678.39
Processador,Intel Processador Modelo 348,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",1247.93,16.9,14.11,1.37,1.01,5.54,38.93,173.38
Monitor,LG Monitor Modelo 374,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",4558.57,33.96,5.33,8.36,1.39,6.05,55.09,706.99
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 101,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",3818.3,19.91,13.34,1.01,0.82,3.95,39.03,530.86
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 968,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",2809.16,11.0,7.16,9.9,0.97,7.43,36.46,383.34
Mouse,Logitech Mouse Modelo 259,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",3240.76,30.94,14.49,8.85,1.09,5.15,60.52,520.21
Fonte,Corsair Fonte Modelo 272,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",4367.46,28.34,9.93,2.2,1.64,3.53,45.64,636.08
Processador,AMD Processador Modelo 191,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",3425.88,14.01,17.2,7.44,1.48,5.1,45.23,497.54
Controle Console,Sony Controle Console Modelo 902,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2238.04,17.53,15.75,3.83,0.96,6.59,44.66,323.76
Mesa Gamer,Mymax Mesa Gamer Modelo 187,"Mesa Gamer da marca Mymax, modelo avançado com alta performance para aplicações diversas.",534.49,30.92,16.77,2.69,0.97,7.52,58.87,84.91
Mesa Gamer,Dazz Mesa Gamer Modelo 839,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",641.19,21.46,10.7,9.47,0.88,3.84,46.35,93.84
Monitor,AOC Monitor Modelo 621,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",5513.75,12.57,15.45,8.91,0.84,7.49,45.26,800.93
Console,Nintendo Console Modelo 899,"Console da marca Nintendo, modelo avançado com alta performance para aplicações diversas.",1556.5,34.79,7.37,4.15,1.52,4.75,52.58,237.49
Notebook,HP Notebook Modelo 345,"Notebook da marca HP, modelo avançado com alta performance para aplicações diversas.",2499.4,35.95,13.19,5.45,1.17,4.31,60.07,400.08
Fonte,Corsair Fonte Modelo 722,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",2501.1,29.91,16.33,1.65,1.15,6.09,55.13,388.0
Processador,Intel Processador Modelo 213,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",1702.22,32.23,5.48,8.56,0.8,5.78,52.85,260.18
Console,Sony Console Modelo 571,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",5660.55,33.32,17.74,1.69,1.0,3.02,56.77,887.4
Controle Console,Sony Controle Console Modelo 581,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2888.56,32.69,17.82,5.22,1.03,5.09,61.85,467.51
Fonte,Cooler Master Fonte Modelo 959,"Fonte da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",4825.14,15.73,16.32,6.81,0.65,6.52,46.03,704.62
SSD,Kingston SSD Modelo 811,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",2260.84,38.34,12.45,8.65,1.02,4.89,65.35,373.83
Mouse,Razer Mouse Modelo 342,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",2874.49,11.5,12.19,4.62,0.75,6.65,35.71,390.1
HD,Seagate HD Modelo 916,"HD da marca Seagate, modelo avançado com alta performance para aplicações diversas.",110.61,22.21,6.49,2.62,1.41,6.65,39.38,15.42
Webcam,Redragon Webcam Modelo 680,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",1113.84,24.47,16.08,5.46,1.06,3.97,51.04,168.23
Webcam,Redragon Webcam Modelo 141,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",2737.96,22.52,17.22,1.44,0.72,3.35,45.25,397.69
SSD,Samsung SSD Modelo 742,"SSD da marca Samsung, modelo avançado com alta performance para aplicações diversas.",2026.09,35.73,11.09,7.36,1.25,6.37,61.8,327.82
Impressora,HP Impressora Modelo 210,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",357.51,19.04,5.17,4.6,1.09,4.24,34.14,47.96
Notebook,Lenovo Notebook Modelo 806,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",1248.76,38.79,17.55,9.88,1.54,4.84,72.6,215.54
Mouse,Logitech Mouse Modelo 137,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",1427.2,37.37,6.82,8.25,0.79,5.15,58.38,226.04
Impressora,HP Impressora Modelo 603,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",1249.97,22.14,16.69,1.22,1.51,3.79,45.35,181.68
Webcam,Microsoft Webcam Modelo 451,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",2223.7,22.75,12.14,6.37,1.23,7.53,50.02,333.6
Cooler,Thermaltake Cooler Modelo 585,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",3530.04,35.11,9.86,5.55,0.67,4.84,56.03,550.79
Teclado,Logitech Teclado Modelo 747,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2418.62,23.64,11.11,9.88,1.61,6.37,52.61,369.11
HD,Toshiba HD Modelo 504,"HD da marca Toshiba, modelo avançado com alta performance para aplicações diversas.",3264.03,20.84,11.76,2.83,1.03,5.58,42.04,463.62
Monitor,AOC Monitor Modelo 659,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",949.68,17.85,12.07,4.92,0.93,6.47,42.24,135.08
SSD,WD SSD Modelo 618,"SSD da marca WD, modelo avançado com alta performance para aplicações diversas.",1565.59,37.53,10.98,8.85,1.0,6.57,64.93,258.21
Teclado,Redragon Teclado Modelo 943,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",5907.91,35.08,5.11,2.32,0.94,5.34,48.79,879.04
Teclado,Redragon Teclado Modelo 465,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",425.16,23.52,11.14,7.46,0.89,7.51,50.52,64.0
Memória RAM,Crucial Memória RAM Modelo 230,"Memória RAM da marca Crucial, modelo avançado com alta performance para aplicações diversas.",203.07,30.44,10.76,0.13,1.33,7.42,50.08,30.48
Mouse,Razer Mouse Modelo 997,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",3974.18,13.29,11.13,1.55,1.13,3.65,30.75,519.62
Memória RAM,Kingston Memória RAM Modelo 795,"Memória RAM da marca Kingston, modelo avançado com alta performance para aplicações diversas.",1232.28,18.21,9.05,1.87,1.07,5.59,35.79,167.33
Fonte,EVGA Fonte Modelo 635,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",1965.32,18.4,12.96,6.95,0.74,6.62,45.67,286.29
Monitor,AOC Monitor Modelo 536,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",1541.25,18.1,16.31,8.43,1.62,4.69,49.15,229.88
Teclado,Razer Teclado Modelo 941,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",3059.28,36.58,13.17,7.05,0.93,4.23,61.96,495.48
SSD,WD SSD Modelo 235,"SSD da marca WD, modelo avançado com alta performance para aplicações diversas.",5450.84,22.7,6.89,9.73,0.95,4.61,44.88,789.72
Processador,AMD Processador Modelo 824,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",3235.43,13.47,11.1,6.23,0.96,7.42,39.18,450.31
Webcam,Redragon Webcam Modelo 402,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",4611.04,16.79,16.15,4.18,0.88,4.45,42.45,656.84
Placa de Vídeo,AMD Placa de Vídeo Modelo 798,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",3376.91,26.92,9.23,1.36,0.99,4.11,42.61,481.58
SSD,Samsung SSD Modelo 559,"SSD da marca Samsung, modelo avançado com alta performance para aplicações diversas.",5877.47,19.98,7.4,5.32,1.63,5.37,39.7,821.08
Webcam,Microsoft Webcam Modelo 380,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",967.49,12.49,14.19,7.46,1.56,5.21,40.91,136.33
Placa-mãe,ASUS Placa-mãe Modelo 282,"Placa-mãe da marca ASUS, modelo avançado com alta performance para aplicações diversas.",578.02,34.56,16.3,6.04,1.1,6.54,64.54,95.11
Notebook,Dell Notebook Modelo 930,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",507.31,33.47,11.4,2.7,1.18,4.16,52.91,77.57
Mouse,Razer Mouse Modelo 231,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",3067.06,38.29,10.22,1.7,0.91,6.04,57.16,482.02
Processador,Intel Processador Modelo 600,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",497.48,24.77,16.82,7.32,1.59,6.3,56.8,78.0
HD,Toshiba HD Modelo 804,"HD da marca Toshiba, modelo avançado com alta performance para aplicações diversas.",4821.61,26.21,5.76,7.23,0.89,7.33,47.42,710.8
Webcam,Logitech Webcam Modelo 990,"Webcam da marca Logitech, modelo avançado com alta performance para aplicações diversas.",670.56,27.08,9.18,0.92,1.29,7.36,45.83,97.79
Fonte,EVGA Fonte Modelo 311,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",1845.64,11.07,16.82,1.39,0.81,5.69,35.78,250.6
