Categoria,Nome do Produto,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Headset,Razer Headset Modelo 862,"Headset da marca Razer, modelo avançado com alta performance para aplicações diversas.",4070.05,12.87,8.78,6.62,1.47,4.32,34.06,545.63
Fonte,Corsair Fonte Modelo 226,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",1332.7,25.21,8.63,0.19,1.11,4.7,39.84,186.36
Monitor,Samsung Monitor Modelo 168,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",1640.18,13.22,15.4,4.56,0.95,3.52,37.65,225.77
Mesa Gamer,Mymax Mesa Gamer Modelo 184,"Mesa Gamer da marca Mymax, modelo avançado com alta performance para aplicações diversas.",4197.59,29.17,12.64,9.0,1.29,3.02,55.12,651.13
Monitor,Samsung Monitor Modelo 365,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",1001.06,17.26,12.26,2.49,0.76,4.96,37.73,137.88
Mesa Gamer,Dazz Mesa Gamer Modelo 669,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",1908.67,39.76,16.08,4.5,0.96,4.83,66.13,317.09
Notebook,Lenovo Notebook Modelo 321,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",1552.62,28.46,6.26,7.68,0.94,7.22,50.56,233.76
Fonte,Cooler Master Fonte Modelo 368,"Fonte da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",4024.54,12.69,16.33,7.88,1.29,7.57,45.76,586.62
Memória RAM,Crucial Memória RAM Modelo 191,"Memória RAM da marca Crucial, modelo avançado com alta performance para aplicações diversas.",3596.44,27.73,10.45,7.9,0.9,6.9,53.88,553.42
Gabinete,Thermaltake Gabinete Modelo 966,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",5439.53,33.09,10.91,2.3,1.49,4.54,52.33,828.6
Placa-mãe,MSI Placa-mãe Modelo 337,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",4714.81,34.83,16.02,2.35,1.03,4.18,58.41,746.87
Cooler,Cooler Master Cooler Modelo 127,"Cooler da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",4616.07,14.64,11.78,4.66,1.6,3.62,36.3,629.17
Webcam,Logitech Webcam Modelo 808,"Webcam da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2284.63,11.21,16.71,1.31,0.75,4.67,34.65,307.62
Teclado,Razer Teclado Modelo 933,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",4031.9,15.64,9.2,1.7,0.67,6.64,33.85,539.67
Console,Microsoft Console Modelo 480,"Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",3187.67,26.78,9.07,0.39,1.41,3.24,40.89,449.11
SSD,Kingston SSD Modelo 920,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",1508.37,27.8,16.42,0.6,1.51,5.5,51.83,229.02
Console,Nintendo Console Modelo 860,"Console da marca Nintendo, modelo avançado com alta performance para aplicações diversas.",3067.46,37.45,13.89,7.15,1.06,3.41,62.96,499.87
SSD,WD SSD Modelo 210,"SSD da marca WD, modelo avançado com alta performance para aplicações diversas.",683.27,31.34,5.86,0.07,0.97,4.31,42.55,97.4
Memória RAM,Corsair Memória RAM Modelo 849,"Memória RAM da marca Corsair, modelo avançado com alta performance para aplicações diversas.",5522.15,11.57,6.0,9.84,1.38,7.3,36.09,751.51
Monitor,LG Monitor Modelo 388,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",2036.6,23.04,9.26,8.25,1.61,4.29,46.45,298.26
Mesa Gamer,Mymax Mesa Gamer Modelo 309,"Mesa Gamer da marca Mymax, modelo avançado com alta performance para aplicações diversas.",3258.09,37.76,17.35,9.43,1.54,6.15,72.23,561.14
Teclado,Logitech Teclado Modelo 273,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2631.66,23.15,13.47,4.68,0.79,6.59,48.68,391.28
Placa-mãe,MSI Placa-mãe Modelo 641,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",4524.42,28.21,10.69,6.99,0.95,4.74,51.58,685.81
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 259,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",2048.49,39.28,7.4,4.85,1.58,3.4,56.51,320.61
Gabinete,Thermaltake Gabinete Modelo 506,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",4033.08,34.99,17.72,2.04,1.57,4.18,60.5,647.31
Impressora,HP Impressora Modelo 647,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",3768.58,10.11,15.38,0.75,1.54,7.02,34.8,508.0
Console,Nintendo Console Modelo 727,"Console da marca Nintendo, modelo avançado com alta performance para aplicações diversas.",1595.36,20.84,16.63,8.86,0.65,3.51,50.49,240.09
Processador,AMD Processador Modelo 788,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",1587.55,20.85,10.15,9.9,1.19,7.25,49.34,237.08
Gabinete,Cooler Master Gabinete Modelo 744,"Gabinete da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",1539.94,37.94,6.21,4.29,1.45,4.51,54.4,237.77
Processador,Intel Processador Modelo 717,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",3017.4,19.83,6.45,1.02,0.72,3.05,31.07,395.49
Mouse,Logitech Mouse Modelo 946,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",5757.24,34.83,12.43,8.13,1.63,4.49,61.51,929.85
Mouse,Logitech Mouse Modelo 728,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",3482.25,25.58,15.03,8.06,0.66,4.55,53.88,535.85
Mesa Gamer,Dazz Mesa Gamer Modelo 543,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",1614.03,17.15,7.16,9.22,1.03,3.18,37.74,222.32
Suporte Monitor,ELG Suporte Monitor Modelo 596,"Suporte Monitor da marca ELG, modelo avançado com alta performance para aplicações diversas.",1688.96,29.63,16.36,3.66,1.41,4.57,55.63,262.85
Monitor,Samsung Monitor Modelo 745,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",4054.27,36.05,12.39,6.55,1.18,5.89,62.06,657.04
Controle Console,8BitDo Controle Console Modelo 511,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",1056.51,22.29,12.18,3.22,1.41,4.92,44.02,152.16
Notebook,HP Notebook Modelo 142,"Notebook da marca HP, modelo avançado com alta performance para aplicações diversas.",3231.16,27.16,8.33,9.61,0.74,4.95,50.79,487.23
Webcam,Redragon Webcam Modelo 440,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",5375.3,38.7,17.31,8.94,1.11,5.58,71.64,922.62
Teclado,Logitech Teclado Modelo 338,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",5172.83,13.54,16.43,5.58,1.61,4.62,41.78,733.4
Placa de Vídeo,AMD Placa de Vídeo Modelo 891,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",3086.41,23.24,8.49,4.01,1.1,4.35,41.19,435.77
Console,Sony Console Modelo 419,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",194.76,17.41,17.08,7.88,0.73,6.41,49.51,29.12
Console,Microsoft Console Modelo 795,"Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",3634.69,32.92,8.97,2.14,0.83,5.45,50.31,546.33
HD,WD HD Modelo 840,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",2872.11,29.81,15.34,9.81,1.05,4.74,60.75,461.69
Placa de Vídeo,AMD Placa de Vídeo Modelo 942,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",5100.49,13.69,8.87,8.68,1.12,6.24,38.6,706.93
Mesa Gamer,Mymax Mesa Gamer Modelo 121,"Mesa Gamer da marca Mymax, modelo avançado com alta performance para aplicações diversas.",189.57,37.2,5.3,7.1,0.95,6.77,57.32,29.82
Placa-mãe,MSI Placa-mãe Modelo 976,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",613.27,29.47,12.41,2.54,1.0,5.86,51.28,92.78
Fonte,Cooler Master Fonte Modelo 643,"Fonte da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",1685.67,13.29,13.63,3.77,1.28,7.56,39.53,235.2
Mouse,Corsair Mouse Modelo 752,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",938.42,31.31,15.19,8.02,1.4,5.69,61.61,151.66
HD,Toshiba HD Modelo 891,"HD da marca Toshiba, modelo avançado com alta performance para aplicações diversas.",2948.55,14.29,13.44,0.66,1.11,6.86,36.36,402.06
Notebook,Lenovo Notebook Modelo 951,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",5187.04,14.08,15.26,5.13,1.32,6.29,42.08,736.98
Webcam,Microsoft Webcam Modelo 556,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",2625.32,17.68,6.83,4.39,1.08,3.66,33.64,350.85
Mouse,Logitech Mouse Modelo 987,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",5677.31,36.22,5.2,5.16,1.1,5.26,52.94,868.29
Placa de Vídeo,AMD Placa de Vídeo Modelo 946,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",209.7,31.45,6.18,5.57,1.53,7.34,52.07,31.89
Impressora,Epson Impressora Modelo 492,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",1186.92,31.35,16.18,0.96,1.53,4.56,54.58,183.47
HD,WD HD Modelo 542,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",3991.34,13.72,12.77,7.18,1.43,3.17,38.27,551.88
Mesa Gamer,ThunderX3 Mesa Gamer Modelo 348,"Mesa Gamer da marca ThunderX3, modelo avançado com alta performance para aplicações diversas.",5585.71,23.84,16.25,5.36,0.99,6.2,52.64,852.6
Monitor,LG Monitor Modelo 475,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",481.89,35.66,8.3,3.64,0.85,7.41,55.86,75.11
Memória RAM,Crucial Memória RAM Modelo 122,"Memória RAM da marca Crucial, modelo avançado com alta performance para aplicações diversas.",1522.79,31.3,8.47,9.29,1.54,5.0,55.6,236.95
Controle Console,Sony Controle Console Modelo 610,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",4061.75,13.29,15.08,6.16,0.77,4.57,39.87,568.12
Memória RAM,Corsair Memória RAM Modelo 975,"Memória RAM da marca Corsair, modelo avançado com alta performance para aplicações diversas.",5675.19,27.06,8.03,8.72,0.95,6.18,50.94,856.61
Placa-mãe,ASUS Placa-mãe Modelo 328,"Placa-mãe da marca ASUS, modelo avançado com alta performance para aplicações diversas.",4661.93,12.14,12.97,3.7,1.12,4.03,33.96,624.51
Webcam,Logitech Webcam Modelo 397,"Webcam da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2961.49,24.47,9.55,2.98,1.55,6.28,44.83,428.91
Controle Console,Sony Controle Console Modelo 190,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2288.85,17.72,14.36,6.33,0.91,5.78,45.1,332.11
Notebook,Lenovo Notebook Modelo 151,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",3744.61,13.51,16.48,1.57,1.61,7.27,40.44,525.89
Monitor,AOC Monitor Modelo 731,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",4285.92,26.87,8.38,6.05,1.21,4.01,46.52,627.97
Monitor,Samsung Monitor Modelo 971,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",676.17,33.88,8.92,6.24,1.22,6.47,56.73,105.98
Controle Console,8BitDo Controle Console Modelo 376,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",1295.31,22.83,17.11,2.49,1.52,5.71,49.66,193.86
Processador,AMD Processador Modelo 536,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",5154.98,35.18,8.38,5.92,1.64,7.55,58.67,817.94
Processador,AMD Processador Modelo 676,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",2177.0,18.55,12.68,3.62,0.66,3.51,39.02,302.65
Impressora,Epson Impressora Modelo 686,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",4386.8,33.36,11.89,5.87,1.13,3.09,55.34,681.45
Processador,AMD Processador Modelo 927,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",3173.92,15.1,10.44,2.83,0.86,4.56,33.79,424.64
SSD,Samsung SSD Modelo 895,"SSD da marca Samsung, modelo avançado com alta performance para aplicações diversas.",533.52,20.37,13.89,5.48,1.05,6.93,47.72,78.81
SSD,Kingston SSD Modelo 778,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",4811.79,31.13,13.51,5.14,0.7,3.96,54.44,743.13
HD,Seagate HD Modelo 795,"HD da marca Seagate, modelo avançado com alta performance para aplicações diversas.",2365.19,18.79,5.23,1.26,0.91,6.89,33.08,314.76
Placa-mãe,MSI Placa-mãe Modelo 262,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",5018.39,25.89,9.25,2.07,0.87,7.31,45.39,729.62
Controle Console,Microsoft Controle Console Modelo 754,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",5138.8,36.56,12.54,5.58,0.8,6.81,62.29,833.98
Mesa Gamer,ThunderX3 Mesa Gamer Modelo 982,"Mesa Gamer da marca ThunderX3, modelo avançado com alta performance para aplicações diversas.",971.44,20.14,8.89,5.63,0.74,7.44,42.84,138.76
SSD,Kingston SSD Modelo 923,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",209.44,39.37,14.48,3.36,1.14,4.16,62.51,34.04
Impressora,Epson Impressora Modelo 790,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",5683.45,31.24,13.56,2.68,1.19,6.89,55.56,884.12
Memória RAM,Crucial Memória RAM Modelo 566,"Memória RAM da marca Crucial, modelo avançado com alta performance para aplicações diversas.",2848.75,33.12,17.16,4.01,1.44,5.24,60.97,458.56
Cooler,Noctua Cooler Modelo 852,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",2647.65,14.2,15.76,5.95,0.67,3.08,39.66,369.77
Teclado,Razer Teclado Modelo 883,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",4525.69,37.74,8.92,0.91,1.07,3.96,52.6,690.62
Monitor,Samsung Monitor Modelo 719,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",5777.82,29.67,7.47,7.75,0.81,5.39,51.09,872.97
Processador,AMD Processador Modelo 649,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",3262.59,13.65,13.41,5.75,0.83,7.25,40.89,459.67
Controle Console,Sony Controle Console Modelo 308,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",3310.99,29.81,15.33,8.99,1.59,3.71,59.43,527.87
Mouse,Logitech Mouse Modelo 139,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",1614.84,16.04,15.19,3.26,1.2,5.7,41.39,228.32
Gabinete,Thermaltake Gabinete Modelo 516,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",1967.0,14.47,9.21,0.77,1.16,7.28,32.89,261.4
Controle Console,Microsoft Controle Console Modelo 602,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",5630.75,19.33,8.39,2.24,1.31,6.22,37.49,774.17
Headset,HyperX Headset Modelo 200,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",1965.76,30.19,8.74,0.53,0.76,7.49,47.71,290.36
Memória RAM,Kingston Memória RAM Modelo 667,"Memória RAM da marca Kingston, modelo avançado com alta performance para aplicações diversas.",5229.32,22.0,15.01,2.13,1.33,7.46,47.93,773.57
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 329,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",5646.75,33.77,5.12,8.46,0.77,5.01,53.13,864.69
Cooler,Noctua Cooler Modelo 926,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",3307.9,28.29,6.71,0.07,1.64,7.49,44.2,477.0
Memória RAM,Kingston Memória RAM Modelo 145,"Memória RAM da marca Kingston, modelo avançado com alta performance para aplicações diversas.",2255.31,30.81,10.26,9.46,0.68,3.67,54.88,349.3
Headset,HyperX Headset Modelo 348,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",3397.1,26.19,6.27,0.48,1.33,4.21,38.48,470.43
Mouse,Logitech Mouse Modelo 284,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",1527.96,26.31,14.64,1.5,1.27,5.85,49.57,228.54
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 970,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",3485.58,38.65,5.23,8.08,0.68,5.39,58.03,550.83
Monitor,LG Monitor Modelo 842,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",4522.31,20.97,8.93,5.73,0.99,3.88,40.5,635.38
Teclado,Redragon Teclado Modelo 432,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",5713.36,26.17,16.37,5.76,0.68,4.0,52.98,874.03
Placa-mãe,Gigabyte Placa-mãe Modelo 900,"Placa-mãe da marca Gigabyte, modelo avançado com alta performance para aplicações diversas.",2125.78,10.87,9.96,7.36,1.5,5.66,35.35,287.72
Console,Sony Console Modelo 434,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2799.65,12.58,6.77,1.22,0.68,5.55,26.8,355.0
Teclado,Redragon Teclado Modelo 188,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",794.98,37.54,9.71,2.06,1.03,3.29,53.63,122.13
Memória RAM,Corsair Memória RAM Modelo 102,"Memória RAM da marca Corsair, modelo avançado com alta performance para aplicações diversas.",4012.55,27.72,17.54,5.58,0.87,3.6,55.31,623.19
Controle Console,Microsoft Controle Console Modelo 758,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",1752.65,18.5,8.03,6.46,1.6,4.04,38.63,242.97
Gabinete,NZXT Gabinete Modelo 124,"Gabinete da marca NZXT, modelo avançado com alta performance para aplicações diversas.",344.23,32.48,9.77,3.53,0.77,3.42,49.97,51.62
Impressora,HP Impressora Modelo 166,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",5324.37,25.74,7.05,1.19,0.97,4.09,39.04,740.3
Console,Microsoft Console Modelo 533,"Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",4663.81,38.12,5.72,2.47,1.22,4.21,51.74,707.69
Mesa Gamer,Dazz Mesa Gamer Modelo 542,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",3635.81,29.16,6.77,3.77,0.71,6.9,47.31,535.59
Monitor,LG Monitor Modelo 163,"Monitor da marca LG, modelo avançado com alta performance para aplicações diversas.",3147.92,19.79,14.49,9.13,1.2,7.13,51.74,477.66
Fonte,EVGA Fonte Modelo 789,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",4801.04,16.44,7.45,6.98,1.18,5.38,37.43,659.81
Notebook,Dell Notebook Modelo 440,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",4933.48,15.08,7.79,6.7,0.66,5.92,36.15,671.69
Impressora,Epson Impressora Modelo 817,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",2489.07,14.05,8.6,2.75,1.01,4.88,31.29,326.79
Impressora,Canon Impressora Modelo 809,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",724.15,32.95,11.18,5.06,0.87,6.72,56.78,113.53
Cooler,Thermaltake Cooler Modelo 192,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",5387.13,18.79,12.94,9.9,1.46,7.37,50.46,810.55
Placa de Vídeo,AMD Placa de Vídeo Modelo 642,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",5661.6,35.27,8.66,2.25,0.75,7.3,54.23,873.19
Memória RAM,Crucial Memória RAM Modelo 500,"Memória RAM da marca Crucial, modelo avançado com alta performance para aplicações diversas.",3223.99,35.51,12.18,1.59,1.4,7.13,57.81,508.78
Console,Nintendo Console Modelo 919,"Console da marca Nintendo, modelo avançado com alta performance para aplicações diversas.",1102.25,23.49,11.53,6.58,1.61,4.59,47.8,162.91
Mesa Gamer,Dazz Mesa Gamer Modelo 861,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",1127.06,16.5,11.5,9.48,1.58,6.82,45.88,164.42
Memória RAM,Kingston Memória RAM Modelo 980,"Memória RAM da marca Kingston, modelo avançado com alta performance para aplicações diversas.",5129.62,15.76,16.78,0.93,1.02,5.92,40.41,720.25
Impressora,Canon Impressora Modelo 869,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",3438.13,35.28,7.15,3.84,0.67,4.66,51.6,521.22
Notebook,Dell Notebook Modelo 650,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",3362.23,21.16,13.15,4.54,1.11,3.08,43.04,480.93
Headset,HyperX Headset Modelo 837,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",3084.27,20.29,6.36,1.32,1.0,4.2,33.17,410.73
Fonte,Cooler Master Fonte Modelo 142,"Fonte da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",2194.41,21.49,16.94,0.26,0.72,7.26,46.67,321.85
HD,WD HD Modelo 516,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",1288.48,15.95,13.22,0.34,1.36,3.41,34.28,173.02
Processador,Intel Processador Modelo 796,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",1292.51,22.83,12.48,7.5,1.48,7.56,51.85,196.27
Controle Console,Microsoft Controle Console Modelo 504,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",272.85,10.8,12.86,2.78,0.69,6.16,33.29,36.37
Fonte,Corsair Fonte Modelo 780,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",1927.97,19.22,13.53,6.25,0.79,5.61,45.4,280.33
Controle Console,Sony Controle Console Modelo 915,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",926.6,25.16,5.9,8.92,1.58,6.7,48.26,137.38
Teclado,Logitech Teclado Modelo 949,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",3428.85,21.47,9.99,7.73,0.8,4.0,43.99,493.72
SSD,Samsung SSD Modelo 709,"SSD da marca Samsung, modelo avançado com alta performance para aplicações diversas.",5669.29,11.77,15.29,9.36,1.62,5.04,43.08,811.16
Mouse,Logitech Mouse Modelo 534,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2357.71,18.61,12.64,8.73,0.77,4.99,45.74,343.61
Mesa Gamer,ThunderX3 Mesa Gamer Modelo 852,"Mesa Gamer da marca ThunderX3, modelo avançado com alta performance para aplicações diversas.",1993.22,21.89,10.65,2.76,0.77,6.8,42.87,284.77
Webcam,Redragon Webcam Modelo 296,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",3017.14,22.37,13.69,7.77,1.39,4.35,49.57,451.27
