Nome do Produto,Categoria,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),Preço Final c/ Impostos (R$)
Processador Eos 1825,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",587.54,9.13,13.34,11.05,784.48
Processador Unde 8936,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",804.29,11.33,12.18,3.28,1019.76
Processador Ducimus 8280,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2607.07,13.42,16.3,10.52,3656.15
Processador Reprehenderit 6874,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1271.54,13.84,16.86,0.1,1663.17
Processador Corrupti 2616,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2943.49,10.1,12.93,14.36,4044.06
Processador Aliquam 5515,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",857.74,10.7,14.15,5.16,1115.15
Processador Quas 4334,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3324.95,15.95,15.22,14.6,4846.78
Processador Culpa 6202,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",775.8,9.4,15.77,13.28,1074.1
Processador Atque 5926,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2520.73,15.57,12.27,3.42,3308.71
Processador Consequuntur 4742,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3948.28,17.83,17.2,5.7,5556.41
Processador Praesentium 7429,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2724.9,10.47,14.22,3.14,3483.24
Processador Consequatur 4375,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2956.37,15.25,12.43,9.52,4056.14
Processador Deleniti 8752,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3051.94,7.45,14.28,14.84,4168.03
Processador Optio 9126,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1268.65,9.86,16.61,0.84,1615.12
Processador Reprehenderit 526,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3317.66,11.02,12.4,13.7,4549.18
Processador Natus 9293,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3567.29,9.72,15.93,5.93,4693.84
Processador Deleniti 7518,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1000.05,7.09,16.47,8.08,1316.47
Processador Veritatis 9578,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1999.52,13.75,14.17,14.96,2856.91
Processador Eveniet 2267,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2283.34,6.36,12.28,1.64,2746.4
Processador Incidunt 2622,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3272.28,11.33,12.38,5.72,4235.31
Processador Ullam 7669,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2351.9,19.57,17.16,0.17,3219.75
Processador Dolore 1877,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",2885.99,13.05,13.6,9.61,3932.45
Processador Voluptatem 1828,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",1527.25,7.37,12.02,10.83,1988.78
Processador Illum 4316,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3901.61,16.43,15.05,1.6,5192.26
Processador Expedita 4890,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.",3445.84,12.61,13.19,5.61,4528.18
Placa de Vídeo Voluptatibus 2647,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",4236.27,16.68,15.18,0.01,5586.37
Placa de Vídeo Recusandae 5311,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",3931.63,6.68,14.18,14.78,5332.86
Placa de Vídeo Architecto 5039,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",2436.71,8.61,15.4,1.18,3050.52
Placa de Vídeo Tenetur 7963,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",5896.14,19.67,15.2,1.89,8063.56
Placa de Vídeo Suscipit 7788,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",6681.09,7.48,15.17,9.1,8802.34
Placa de Vídeo Quas 3471,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",6573.48,16.33,16.14,10.69,9410.59
Placa de Vídeo Dolore 6538,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",6970.9,14.75,14.63,7.76,9559.89
Placa de Vídeo Repellat 1983,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",2487.43,5.96,12.13,8.31,3144.11
Placa de Vídeo Accusantium 9642,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",2321.3,6.06,15.79,3.43,2908.12
Placa de Vídeo Quisquam 515,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",6157.81,6.06,13.43,10.03,7975.6
Placa de Vídeo Possimus 3511,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",4235.4,15.85,17.29,8.64,6004.95
Placa de Vídeo Facilis 3982,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",5707.72,17.11,13.14,1.45,7517.07
Placa de Vídeo Soluta 7063,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",3125.79,11.17,17.18,0.81,4037.27
Placa de Vídeo Possimus 1613,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1363.68,15.92,16.8,1.64,1832.24
Placa de Vídeo Suscipit 3140,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",2141.25,11.73,14.53,4.18,2793.05
Placa de Vídeo Voluptas 4093,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",6246.92,6.13,16.85,12.84,8484.57
Placa de Vídeo Itaque 1605,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1303.53,19.99,17.02,14.53,1975.37
Placa de Vídeo Facilis 3873,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1997.87,12.28,13.28,6.02,2628.8
Placa de Vídeo Ipsum 961,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1987.82,5.03,14.34,13.9,2649.17
Placa de Vídeo Distinctio 7455,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",2711.5,15.45,16.38,11.75,3893.17
Placa de Vídeo Ab 7974,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1928.78,9.45,17.81,8.69,2622.18
Placa de Vídeo Aliquam 8884,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1365.75,9.7,12.3,7.15,1763.87
Placa de Vídeo Maxime 8702,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1944.6,19.41,12.48,2.79,2618.99
Placa de Vídeo Nihil 9750,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",1407.77,17.93,14.42,14.12,2061.96
Placa de Vídeo Nisi 9334,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.",2477.29,13.92,15.72,6.29,3367.38
Memória RAM Enim 9563,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",495.66,9.75,13.56,10.05,661.01
Memória RAM Quia 5148,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",267.08,10.94,16.03,4.5,351.13
Memória RAM Similique 5181,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",750.31,19.04,12.06,9.32,1053.59
Memória RAM Ut 9225,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",797.27,6.1,13.28,3.98,983.51
Memória RAM Magni 5719,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",716.6,18.19,14.22,2.37,965.83
Memória RAM Sunt 8901,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",592.48,14.18,17.92,9.81,840.79
Memória RAM Pariatur 129,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",567.5,13.32,17.59,1.55,751.71
Memória RAM Quam 2201,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",285.13,18.35,16.45,2.33,391.0
Memória RAM Sapiente 4617,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",523.38,15.76,13.22,9.51,724.83
Memória RAM Odio 4326,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",453.79,8.77,17.45,0.76,576.22
Memória RAM Alias 6940,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",680.54,5.66,14.0,1.96,827.67
Memória RAM Amet 4292,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",213.11,11.63,16.23,8.41,290.4
Memória RAM Deleniti 1833,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",152.67,18.25,17.42,8.18,219.62
Memória RAM Eos 6050,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",507.76,7.22,12.76,4.62,632.67
Memória RAM Eos 654,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",729.25,8.15,13.5,1.54,898.36
Memória RAM Veritatis 9174,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",718.89,11.1,15.72,2.32,928.37
Memória RAM Deleniti 3879,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",705.22,19.64,16.86,13.22,1055.86
Memória RAM Dolor 407,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",225.55,18.87,16.69,6.18,319.69
Memória RAM Dignissimos 4066,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",286.76,16.81,12.65,13.08,408.75
Memória RAM Fuga 7712,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",255.7,17.25,14.76,4.58,349.26
Memória RAM Voluptatibus 3729,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",256.05,14.9,14.39,4.18,341.75
Memória RAM Molestiae 1138,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",776.82,9.19,15.85,6.0,1017.94
Memória RAM Eum 8786,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",331.8,5.41,17.26,3.92,420.03
Memória RAM Eos 9513,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",773.77,8.98,12.65,6.52,991.59
Memória RAM Eum 5140,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.",405.48,19.76,12.69,13.49,591.76
Placa-mãe Accusamus 3115,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",733.03,15.63,12.01,13.88,1037.38
Placa-mãe Molestiae 8822,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1467.66,19.1,16.42,2.96,2032.42
Placa-mãe Perferendis 7067,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",418.96,14.96,13.98,4.71,559.94
Placa-mãe Temporibus 2042,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1523.58,9.5,13.86,6.13,1972.88
Placa-mãe Aliquid 6593,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1485.25,13.32,13.15,9.97,2026.48
Placa-mãe Molestias 6212,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1451.44,18.54,15.69,4.51,2013.73
Placa-mãe Soluta 8978,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1717.33,9.56,13.26,11.79,2311.7
Placa-mãe Beatae 9940,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1413.0,11.97,14.65,3.21,1834.5
Placa-mãe Quam 7753,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1649.35,19.4,16.42,9.88,2403.1
Placa-mãe Esse 4650,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1176.27,14.49,14.01,12.28,1655.95
Placa-mãe Tenetur 3849,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1443.75,8.37,13.19,0.37,1760.36
Placa-mãe Temporibus 4012,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1972.69,14.17,16.61,6.83,2714.62
Placa-mãe Ipsam 9432,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",630.54,15.45,14.97,3.66,845.43
Placa-mãe Corporis 91,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1817.52,17.91,17.31,11.68,2669.94
Placa-mãe Corrupti 3586,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",599.01,19.37,15.11,0.75,810.04
Placa-mãe Quia 4083,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1859.7,6.82,12.8,6.97,2354.19
Placa-mãe Deleniti 8703,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1979.42,13.93,17.7,13.37,2870.16
Placa-mãe Aut 8271,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1025.46,18.6,14.68,2.39,1391.24
Placa-mãe Modi 7778,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1065.12,16.28,17.04,4.16,1464.33
Placa-mãe Maiores 8541,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1123.81,8.59,14.64,10.7,1505.12
Placa-mãe Maxime 3842,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",761.92,9.8,15.24,2.08,968.55
Placa-mãe Architecto 3789,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",951.16,7.29,13.28,6.22,1205.98
Placa-mãe Dolorum 5422,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1222.44,11.24,13.24,6.3,1598.71
Placa-mãe Dignissimos 9570,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",1908.31,5.29,17.28,8.64,2503.89
Placa-mãe Facere 7815,Placa-mãe,"Placa-mãe com desempenho confiável, ideal para setups gamers e profissionais.",310.02,10.28,16.52,12.8,432.79
SSD Assumenda 6866,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",499.84,16.02,16.8,13.47,731.22
SSD Impedit 8000,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",292.62,11.54,12.17,5.04,376.75
SSD Esse 6625,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",620.72,17.61,17.52,14.71,930.09
SSD Nostrum 8752,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",167.53,10.91,15.39,0.41,212.28
SSD Esse 7023,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",238.2,11.93,12.3,5.69,309.47
SSD Inventore 3468,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",445.55,10.06,17.28,4.17,585.94
SSD Laudantium 6907,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",313.98,6.23,12.12,8.09,397.0
SSD Repudiandae 5734,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",295.74,6.03,17.74,0.6,367.81
SSD Voluptatem 509,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",767.25,7.99,12.12,2.29,939.11
SSD Libero 2069,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",457.81,6.72,17.69,6.98,601.52
SSD Tempora 4199,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",648.48,7.52,15.64,11.22,871.43
SSD Expedita 1877,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",655.56,7.46,13.87,8.68,852.29
SSD Deleniti 5112,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",524.27,18.62,14.25,14.12,770.62
SSD Repellendus 3250,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",199.4,15.36,15.76,1.53,264.5
SSD Quidem 4942,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",702.69,14.01,12.73,14.76,994.31
SSD Hic 673,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",375.68,11.43,14.22,7.59,500.56
SSD Similique 5591,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",158.22,11.3,14.94,6.5,210.02
SSD Recusandae 5935,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",563.13,17.43,16.24,6.53,789.51
SSD Aspernatur 8549,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",777.56,9.05,16.85,8.07,1041.7
SSD Eaque 7922,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",452.17,17.39,15.55,4.83,622.95
SSD Officiis 4023,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",689.98,6.3,17.29,3.66,878.0
SSD Accusantium 7614,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",520.4,15.02,14.02,7.41,710.09
SSD Impedit 5326,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",268.2,8.18,16.79,5.11,348.87
SSD Minus 9768,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",605.77,9.14,12.06,14.22,820.33
SSD Sunt 1403,SSD,"SSD com desempenho confiável, ideal para setups gamers e profissionais.",306.88,11.1,15.33,3.6,399.04
HD Doloribus 7801,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",522.95,12.36,16.76,1.4,682.55
HD Voluptate 3631,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",402.2,8.65,15.98,5.54,523.54
HD Et 9069,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",465.46,11.38,16.48,4.96,618.22
HD Qui 7435,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",335.46,8.77,12.72,2.89,417.25
HD Repellendus 1959,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",571.44,19.26,16.14,2.87,790.13
HD Laborum 7934,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",338.25,13.84,16.56,8.95,471.35
HD Dolor 1648,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",616.31,9.44,14.17,4.53,789.74
HD Distinctio 8752,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",263.29,5.68,12.33,4.38,322.24
HD In 2069,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",518.93,16.29,12.62,0.18,669.89
HD Repellendus 4659,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",434.7,11.61,13.11,0.77,545.51
HD Quae 7828,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",257.04,5.98,14.95,8.66,333.1
HD Quidem 879,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",275.86,17.17,17.69,1.28,375.56
HD Numquam 4067,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",259.23,16.47,15.64,11.86,373.21
HD Consequatur 3698,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",587.85,10.71,17.45,4.46,779.61
HD Atque 9643,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",695.02,9.58,15.73,9.14,934.45
HD Quas 1626,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",673.8,8.12,13.27,9.91,884.7
HD Quia 2574,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",319.93,13.28,12.94,6.13,423.43
HD Et 9730,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",434.96,5.49,13.73,4.24,537.0
HD Natus 7439,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",235.59,8.5,13.59,11.87,315.6
HD Sunt 9664,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",530.59,19.01,14.55,8.17,752.01
HD Laborum 2442,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",654.21,17.4,12.43,2.49,865.65
HD Modi 5040,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",497.52,17.36,17.53,6.59,703.89
HD Eum 7680,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",544.34,15.5,17.66,7.51,765.72
HD Quae 8091,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",418.88,13.97,17.34,11.02,596.19
HD Aperiam 9892,HD,"HD com desempenho confiável, ideal para setups gamers e profissionais.",325.18,6.37,17.77,12.54,444.46
Fonte Iste 9425,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",669.7,5.31,16.59,12.32,898.87
Fonte Porro 9442,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",232.19,16.34,14.82,9.77,327.23
Fonte Distinctio 4558,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",345.19,13.78,15.81,7.38,472.81
Fonte Saepe 1495,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",576.01,11.13,13.93,1.57,729.4
Fonte Sed 2635,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",463.84,15.41,13.73,14.18,664.78
Fonte Tenetur 9013,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",229.36,6.32,13.51,1.74,278.83
Fonte Numquam 6623,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",891.93,17.37,12.01,13.04,1270.29
Fonte Temporibus 7570,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",530.6,7.81,14.17,11.35,707.45
Fonte Nisi 7243,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",807.99,8.05,15.3,13.92,1109.13
Fonte Eveniet 7179,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",904.68,12.27,12.17,9.45,1211.28
Fonte Voluptates 3921,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",767.83,9.66,12.08,6.12,981.75
Fonte Error 3682,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",993.81,18.69,14.77,1.76,1343.83
Fonte Voluptates 2523,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",598.7,15.75,15.05,4.1,807.65
Fonte Error 7906,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",984.2,8.66,15.31,5.75,1276.7
Fonte At 9821,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",606.59,18.19,17.18,4.14,846.25
Fonte Dolore 6799,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",471.9,16.82,13.6,0.04,615.64
Fonte Voluptas 4892,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",869.98,13.7,15.96,12.98,1240.94
Fonte Maiores 7317,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",630.86,10.18,15.31,8.15,843.08
Fonte Repudiandae 7461,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",946.28,18.04,17.88,3.58,1320.06
Fonte Tempore 6275,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",386.85,16.63,12.26,11.17,541.82
Fonte Maiores 6247,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",508.86,14.96,16.92,14.71,745.94
Fonte Quidem 8116,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",971.86,6.89,17.79,4.98,1260.11
Fonte Possimus 1645,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",899.35,11.6,15.16,6.85,1201.62
Fonte Adipisci 2362,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",527.98,14.82,12.93,7.04,711.66
Fonte Harum 4343,Fonte,"Fonte com desempenho confiável, ideal para setups gamers e profissionais.",470.85,15.39,15.9,12.78,678.35
Gabinete Dolorem 8743,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",397.01,9.75,16.31,11.39,545.69
Gabinete Dolor 8865,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",173.33,6.03,15.79,13.81,235.09
Gabinete Incidunt 3728,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",635.4,11.51,12.59,9.51,848.96
Gabinete Dolorem 1647,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",438.39,15.41,17.42,0.69,585.34
Gabinete Id 920,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",340.69,10.62,12.87,7.97,447.87
Gabinete Odit 9273,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",593.17,7.7,13.05,9.14,770.47
Gabinete Voluptatem 6268,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",552.81,8.61,17.48,2.15,708.92
Gabinete Ab 7556,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",564.64,11.89,16.0,13.48,798.23
Gabinete Blanditiis 7623,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",735.79,15.16,12.95,6.63,991.4
Gabinete Laudantium 5662,Gabinete,"Gabinete com desempenho confiável, ideal para setups gamers e profissionais.",791.97,9.49,17.77,10.35,1089.83
